bV^0_0,bV^0_1,bV^0_2,bV^0_3,bV^0_4,bV^0_5,bV^0_6,bV^0_7,bV^0_8,bV^0_9,bV^0_10,bV^0_11,bV^0_12,bV^0_13,bV^0_14,bV^0_15,bV^0_16,bV^0_17,bV^0_18,bV^0_19,bV^0_20,bV^0_21,bV^0_22,bV^0_23,bV^0_24,bV^0_25,bV^0_26,bV^0_27,bV^0_28,bV^0_29,bV^0_30,bV^0_31,bV^0_32,bV^0_33,bV^0_34,bV^0_35,bV^0_36,bV^0_37,bV^0_38,bV^0_39,bV^0_40,bV^0_41,bV^0_42,bV^0_43,bV^0_44,bV^0_45,bV^0_46,bV^0_47,bV^0_48,bV^0_49,bV^0_50,bV^0_51,bV^1_0,bV^1_1,bV^1_2,bV^1_3,bV^1_4,bV^1_5,bV^1_6,bV^1_7,bV^1_8,bV^1_9,bV^1_10,bV^1_11,bV^1_12,bV^1_13,bV^1_14,bV^1_15,bV^1_16,bV^1_17,bV^1_18,bV^1_19,bV^1_20,bV^1_21,bV^1_22,bV^1_23,bV^1_24,bV^1_25,bV^1_26,bV^1_27,bV^1_28,bV^1_29,bV^1_30,bV^1_31,bV^1_32,bV^1_33,bV^1_34,bV^1_35,bV^1_36,bV^1_37,bV^1_38,bV^1_39,bV^1_40,bV^1_41,bV^1_42,bV^1_43,bV^1_44,bV^1_45,bV^1_46,bV^1_47,bV^1_48,bV^1_49,bV^1_50,bV^1_51
-0.20548839019835075,-0.19052503872511706,-0.18935014357539032,-0.1979911955199951,-0.18281089312867876,-0.1903660000900395,-0.2046667263119306,-0.17473664957346088,-0.17276153170958072,-0.16721193093097694,-0.16703024912206213,-0.17794867562960456,-0.1976665002871126,-0.2005888750575445,-0.1925706552692268,-0.185690729189201,-0.17602113535200814,-0.18322062696946448,-0.19306776598629846,-0.20346731474111857,-0.20558767711389375,-0.19642144372108686,-0.17618500674776313,-0.18413357245950823,-0.18258872300992857,-0.17008132103416052,-0.188673909308337,-0.2050605534026581,-0.21473387975038627,-0.21504196970686604,-0.207855365955112,-0.20831195842012667,-0.19320362668437394,-0.20556728268981023,-0.2005890857207187,-0.20044810161695376,-0.20560900312582972,-0.2117498362571555,-0.23701081428803566,-0.2311065550646324,-0.22468288477992499,-0.23093875014386386,-0.23488012680045087,-0.23048560580172012,-0.2102530001994563,-0.19761130601265495,-0.20303031041463604,-0.22158462611005855,-0.21328761370091473,-0.17701970829669078,-0.18032124800549243,-0.19125044282049908,-0.09221188635487208,-0.10842403842614277,-0.10971946827127116,-0.09975074860724269,-0.11565672307949962,-0.10770076963879846,-0.0918688575317709,-0.1246788515776883,-0.12756269477122495,-0.13350269529812167,-0.13382169618185188,-0.12185712787905709,-0.09983376091398588,-0.09612779036938496,-0.104668056644567,-0.11270556900501694,-0.12411782019798501,-0.11625928584736077,-0.10564423627121515,-0.0950545757104377,-0.09363919541891419,-0.103331614489906,-0.12554008935771724,-0.11665776928707096,-0.11852605992874089,-0.13180664609516307,-0.11126366585506083,-0.0935058577019676,-0.08307128697830703,-0.08283353655032426,-0.09137748167969222,-0.09053502697672443,-0.10693443867279545,-0.09337225993222623,-0.0988910030075593,-0.09968461950163891,-0.09433686560076554,-0.08718094056180607,-0.06063253664119976,-0.0672347332234277,-0.07427516057168361,-0.06759350458922025,-0.06400646444510802,-0.06844665111970029,-0.08979126729441768,-0.10330412800887585,-0.09753707991700544,-0.0771591873932262,-0.08590568562166605,-0.12467754175645754,-0.12148100020953871,-0.10970735900448751
-0.20548839019835075,-0.20407093036867285,-0.18562596633588813,-0.19306313069073083,-0.20940854611439225,-0.2134434010371363,-0.19891977775906547,-0.21147663917032777,-0.22518560802408522,-0.2304417820478631,-0.24084921600963774,-0.24220099829219305,-0.24102635178313764,-0.23679873770076265,-0.2415764776880499,-0.23781685155913604,-0.24082761361482036,-0.25771839395892243,-0.26011323336421405,-0.25973784805060224,-0.253502185815381,-0.249868039993216,-0.2539730825103043,-0.26120561324810077,-0.2614539032348946,-0.2572289695820967,-0.2502699049004868,-0.2540528197393888,-0.2510174510251538,-0.2619603632841101,-0.2554212311836671,-0.25618643944505604,-0.2622917599201505,-0.2600531806237869,-0.25353516087321415,-0.24975388858311115,-0.24135561224359925,-0.2519294401183138,-0.26179025778466813,-0.24742142515246737,-0.25287542031912535,-0.25983350203188976,-0.24943591494139875,-0.24879361623877855,-0.23770355527133238,-0.24016327220089204,-0.2328323645350257,-0.2325821481424302,-0.21980413905522217,-0.2224423658330622,-0.22185064089133688,-0.24190300803465284,-0.09221188635487208,-0.0937949701965858,-0.11461936444581633,-0.10595307324043075,-0.08913996554981994,-0.0846402295148812,-0.10078596227783444,-0.08748560090419898,-0.07263377224607893,-0.06695036390527936,-0.05695307564333505,-0.055940527784061084,-0.05704961805091145,-0.06224236883626942,-0.057126511538276185,-0.06125255147141471,-0.057645389814419065,-0.04012446881208766,-0.037770285080627373,-0.03755592315534652,-0.04493744131206052,-0.04909373236058648,-0.04506770585325437,-0.03780412487602514,-0.0371738251322999,-0.04193605625337279,-0.04927376156450983,-0.04556276794758594,-0.04849786130076128,-0.03727013581689538,-0.044529932854911164,-0.044089927076147534,-0.03820483318079021,-0.041036858118226466,-0.047599610153397844,-0.05156995754870334,-0.060115321482534664,-0.048776806496089044,-0.03916110343064729,-0.05388753193356478,-0.04795761494538882,-0.040783039891237584,-0.05096176017471497,-0.051682780570717075,-0.06329640642219014,-0.060752421108315115,-0.0688663536251746,-0.06922406630328888,-0.08256182781818645,-0.07944426413718464,-0.08020571972877354,-0.059446061953383
-0.20548839019835075,-0.20924612239719428,-0.2000081548780789,-0.20655889351983248,-0.21141025344167994,-0.19708545421457294,-0.18646919276723067,-0.19452069463007565,-0.2060862390470785,-0.19889384091534437,-0.18690159685323884,-0.1995504394402032,-0.21015614517646045,-0.22086826152642672,-0.2173558864985449,-0.21773119472149247,-0.22862672819963195,-0.20769000212447059,-0.1920542536324924,-0.15581510570466509,-0.13967831982243278,-0.13505807628936833,-0.13001786534989004,-0.13575924642795606,-0.14367508061793688,-0.14360850351027837,-0.14748284131062003,-0.1496339623953126,-0.15976688685553275,-0.1736733007279254,-0.16296813858079914,-0.1612881897189567,-0.1648514378088301,-0.1705231620999373,-0.1764722791001843,-0.17920056849476695,-0.17576889698319792,-0.1488550165576943,-0.1487751928412766,-0.15612070985760634,-0.15140609937617155,-0.1530288612277213,-0.1523085217096839,-0.14087478085252197,-0.13754061994776579,-0.13102433909631,-0.119515115429907,-0.126760893949064,-0.11325049467459833,-0.11796864865875206,-0.11060692884270719,-0.11011098201894323,-0.09221188635487208,-0.0883067661914152,-0.09827238976579909,-0.09090593489691802,-0.08548552567515817,-0.10154966175361267,-0.11343717208116641,-0.10479692504357659,-0.09273572767440343,-0.10011693331137068,-0.11324168681493461,-0.10005383025099321,-0.08904111077960668,-0.07742920978208877,-0.08102997620959439,-0.08080054170830783,-0.06891499135086854,-0.090734359675866,-0.10794231707294664,-0.14742250623029493,-0.1648193715468959,-0.16996399589341835,-0.17584361222048359,-0.16984270338386803,-0.16161396210808637,-0.16189454187016464,-0.15771325926786858,-0.15552296939265756,-0.1446926356625593,-0.13020213999611502,-0.14148466201074034,-0.1434150085315399,-0.13986499506341143,-0.1340915927293082,-0.12797628265582234,-0.125181386807991,-0.12876029466096284,-0.1567453085885406,-0.15684984300641922,-0.14912177224726356,-0.1541535923060211,-0.1523823187238114,-0.15355841689090624,-0.16536648627729997,-0.16897831903733176,-0.1757543770918348,-0.18777856120915387,-0.18015148445123663,-0.19432096577429006,-0.18930203411566593,-0.1969468197199001,-0.19748967417189714
-0.20548839019835075,-0.21129322156984767,-0.20858825189111022,-0.21788213672427387,-0.2112269943943948,-0.205899476202222,-0.21718326524369275,-0.22733180289130006,-0.22099744560394724,-0.21325175899339685,-0.21791782279719668,-0.22983729978834846,-0.22511358546083968,-0.23398717445653203,-0.23322391967046513,-0.23422362731436186,-0.2263865966005536,-0.20819422081308955,-0.2107040210475091,-0.21121984176079023,-0.21898789672320304,-0.2250589222959859,-0.22436203688439968,-0.2310339748401833,-0.22064589784075356,-0.22761249196194494,-0.2169415393788244,-0.2216130956160825,-0.22696968326402944,-0.23777492696538377,-0.24081102197143786,-0.22172436173337856,-0.22109757347211295,-0.21977110477690553,-0.21382454564387052,-0.22768153596900076,-0.24592565995832216,-0.2512179230854008,-0.2549509316089963,-0.25615690295676535,-0.2612546706970168,-0.2532243196924393,-0.24660862245042114,-0.24026296347566323,-0.2328129753214521,-0.23315175787007258,-0.2353369350262302,-0.23742378769045486,-0.2362380013164858,-0.23365453090180813,-0.2334502798980098,-0.2350285510488258,-0.09221188635487208,-0.08513867483380577,-0.08854336795748002,-0.07910538679779704,-0.08679989415535878,-0.09272496852577707,-0.0810046141262003,-0.07037786404255979,-0.07717934179434255,-0.08514518332360595,-0.0798367769053732,-0.06667652880236945,-0.07155920327544467,-0.061560822420386165,-0.0621997676048368,-0.06193268584482842,-0.06998018357355826,-0.0893432375847292,-0.08675835560052417,-0.08642552766992286,-0.07820568774225317,-0.0717249861105626,-0.07247889095595135,-0.06568950380096417,-0.07824196775739028,-0.07105593105139495,-0.08212995141718314,-0.0772584944859334,-0.07114910674951042,-0.059803821643833556,-0.05599687951943003,-0.07664515190139248,-0.07756919698646594,-0.07975144143447574,-0.08549410693232812,-0.06988466345888993,-0.050511165293891894,-0.04536131587134663,-0.041642583431104545,-0.04060360241965389,-0.03474035111464751,-0.04381111236916934,-0.05036893856636139,-0.056497970695923196,-0.06379468769155482,-0.06374721513697681,-0.06116178773097351,-0.05930173898898007,-0.06097769743985839,-0.06434150558786031,-0.06510987353562721,-0.06410192959792119
-0.20548839019835075,-0.1937249768649542,-0.20402544042503604,-0.20309046297097888,-0.20380352726853224,-0.20460693676929353,-0.19098030975761232,-0.18462258883079283,-0.173434958605451,-0.1590469581076931,-0.14666793546511664,-0.15687004557119508,-0.16170418217842122,-0.16253823640707446,-0.16833579139688193,-0.1625768216048359,-0.15736559089589544,-0.14242471095400766,-0.1497502642760367,-0.15333852236967288,-0.13884287441355828,-0.1387361037642605,-0.14469978905531503,-0.13217235334374228,-0.1324500301204745,-0.13287285071409577,-0.14196252957618755,-0.15260995197901409,-0.14796036550824815,-0.15336821594154534,-0.16729568227941022,-0.18248036445103316,-0.19455833536457823,-0.19346741346992447,-0.1828423415029982,-0.19122245887666336,-0.1743379876828552,-0.15717944574754783,-0.13739350046632054,-0.13510063065654865,-0.13409407265122697,-0.13575879209069847,-0.14246652707845492,-0.1349176205899797,-0.13023493084625176,-0.12649223554801017,-0.12214860267148568,-0.11506927874679132,-0.11406201831557962,-0.11397107222461009,-0.11282202149242594,-0.11923958852320936,-0.09221188635487208,-0.10540124853759004,-0.09439009837243006,-0.09520643168054302,-0.09398433389146317,-0.09350599010336365,-0.10830816517658919,-0.11504663512541452,-0.12712728229721287,-0.14252432314868618,-0.15598902539812395,-0.1454217617579204,-0.1399110750763618,-0.13878948131922053,-0.13262083059324536,-0.13875494777647213,-0.1448630292988033,-0.1611564476849672,-0.15320170049232865,-0.14932018449024292,-0.16507986042985934,-0.16517581881932247,-0.1589815128500341,-0.17253820027657407,-0.17197239328244165,-0.1712623286199799,-0.1608871590680896,-0.14923399826017786,-0.15448503081203574,-0.14847704134026463,-0.13290296828199472,-0.11622343215447622,-0.10311199145105285,-0.10427333199333917,-0.11544070042730324,-0.10541701258326323,-0.12482067365178531,-0.14447196134318782,-0.16632040278797405,-0.16864799451538576,-0.16986987908976836,-0.1682358559469373,-0.16078698120555243,-0.16884896811207284,-0.17418671511355563,-0.17828520450448065,-0.18292059864753604,-0.19103439114877155,-0.19232664882005288,-0.19246431554607848,-0.19382323965428672,-0.18689260907950533
-0.20548839019835075,-0.1876490350517163,-0.18856106145899915,-0.19629487826414416,-0.1807025389211506,-0.17343696191239844,-0.1848936498969787,-0.1878950559964476,-0.18377513685549585,-0.18288188890308926,-0.18594294220972243,-0.1966961063478725,-0.2027357461162837,-0.19589515743857935,-0.20410067212454316,-0.22685391982092548,-0.23124153241561404,-0.24194749892642112,-0.2485217475323897,-0.2544951862345757,-0.2415972226993838,-0.22250122046215037,-0.2284032215901935,-0.2333271306064926,-0.23622860332085516,-0.23044956814813825,-0.24661751289202102,-0.24818188806906671,-0.2560208745338356,-0.25767457401175736,-0.25025893990116116,-0.25049227229885634,-0.25615480155778375,-0.2490612050447322,-0.2592277354158287,-0.26896407269218625,-0.2637787326056711,-0.2623298748746558,-0.26099524924176065,-0.2591794092016247,-0.26618714429340073,-0.2658459647926184,-0.2674693057325342,-0.2667866540529307,-0.25607412409542074,-0.2524021878122169,-0.24692747387478753,-0.23736339857459215,-0.2138580704838837,-0.21384402697157104,-0.21164781356648685,-0.211581651168378,-0.09221188635487208,-0.11161585774661495,-0.11054636053590629,-0.10154606825224752,-0.11874210663996507,-0.12672025771569478,-0.1148615300716989,-0.11204260316961596,-0.11719352254891906,-0.11897287829093474,-0.11611519257455796,-0.10504260470187751,-0.09866031018577263,-0.10567084946160406,-0.09739295374575707,-0.07359015691683168,-0.06942601378697852,-0.05806357354694747,-0.05103653734573978,-0.04526577537629031,-0.0589370484408271,-0.0792479006432498,-0.07357412306588872,-0.0687429359284642,-0.06598431998077349,-0.07201992928525798,-0.055788858280251735,-0.054085672673540364,-0.04561252538248016,-0.04387893588973466,-0.05163121862939006,-0.0512970887715225,-0.045471601752319096,-0.052792913733595626,-0.042438917739702306,-0.03266339676879431,-0.03800282068087802,-0.03971073869356689,-0.04120170923173823,-0.043191094982967304,-0.03611278242493734,-0.036767216572784825,-0.035325552505974314,-0.03610959309752659,-0.04733290789213691,-0.05095909464621695,-0.056663802892858696,-0.06628397940888661,-0.09058376301255697,-0.09079322883358877,-0.09289791515131456,-0.0932345632302723
-0.20548839019835075,-0.2120676094725862,-0.22560930696580006,-0.22322410061886377,-0.22668012356105594,-0.22516591524099225,-0.2429976583286786,-0.22982083247769022,-0.22679266338420462,-0.23332724755814965,-0.21817401502996142,-0.22283771523738177,-0.22186302151744652,-0.2421624975964591,-0.23694334234558448,-0.20386884111756493,-0.20422733623986628,-0.2023316821654894,-0.2066302027960226,-0.19266635033520288,-0.1958028889053618,-0.2008570580370383,-0.2077287659992193,-0.21213723291393768,-0.21855952051541644,-0.19594098130598325,-0.20539429352919286,-0.20542978664584016,-0.1891803435161765,-0.18350598952850306,-0.18437763520086586,-0.20500573238278907,-0.2013080721616586,-0.1696224612393637,-0.18147741577320706,-0.1930096825234184,-0.19841979160354972,-0.1999041284006952,-0.21478947365349899,-0.23291740601443475,-0.23561674934843685,-0.22666657401842388,-0.22529288338851342,-0.21585447031868876,-0.20924370917669144,-0.19397804451110384,-0.18065175717681586,-0.17909586362244678,-0.19449974221367464,-0.18946391552249095,-0.1750755972885132,-0.18632800635654495,-0.09221188635487208,-0.0857884751019765,-0.07104272082023194,-0.07353828281567847,-0.06997846347504406,-0.07089180988234747,-0.05250724355862843,-0.06725527561163228,-0.07026076117009855,-0.06341582826458075,-0.0799838708767496,-0.0755859857036507,-0.07562410730361134,-0.05383200491932924,-0.05915792659535732,-0.0945477723822761,-0.09461604391452393,-0.09621259248522085,-0.09226786105999735,-0.10729003168267479,-0.10377875911241245,-0.09764850225492286,-0.08988738814308919,-0.0855796994611326,-0.07849866523967784,-0.10336198775924453,-0.09406216869985604,-0.09332051166307084,-0.11101306418656127,-0.11713657020386208,-0.1159131448701599,-0.09330217929089946,-0.0970953182163508,-0.13192826909481434,-0.11862204526067104,-0.10619750893834265,-0.10027934018176672,-0.09941999109437163,-0.08382314323233322,-0.06380570115910664,-0.060696636332947175,-0.0706807744148335,-0.07171065181087864,-0.08165427082427545,-0.08876319017533175,-0.10498694267948763,-0.12008118905919085,-0.12247542173643038,-0.10591797799321145,-0.11114727694320077,-0.12706809841519687,-0.11563535879099475
-0.20548839019835075,-0.1871025952047714,-0.17076694782385604,-0.17713735542723916,-0.17689607502230292,-0.1780409643212341,-0.19054730780275514,-0.1884061215624428,-0.1856287118458446,-0.18068660063225184,-0.1768000998768292,-0.16598943169324354,-0.15599951879878518,-0.1807252181593802,-0.15716140860672317,-0.14922228959055095,-0.15318827568431836,-0.14140331261692696,-0.14043135802650072,-0.12802285157047738,-0.12490027932884454,-0.11991912803070215,-0.11443752262097823,-0.11007029508676273,-0.10580138810024532,-0.10299240932956143,-0.09922930139750577,-0.09874694074767905,-0.10075362838160694,-0.10008087576916579,-0.10140282482451198,-0.102073475345174,-0.10030998531043259,-0.10430869401961049,-0.10314975095546436,-0.10317301678540777,-0.10017791420476681,-0.10132666288049863,-0.09890399619893878,-0.1012444261764414,-0.0989275715803724,-0.10218804929283024,-0.1015783785055454,-0.10172428814067713,-0.09774224012121538,-0.09727119569527896,-0.1010038742733517,-0.10030913949370825,-0.10181807832561296,-0.09987054330299665,-0.10265817707641332,-0.10428401284572911,-0.09221188635487208,-0.11227009802070052,-0.13035719916662622,-0.12393976422578394,-0.12380945563825636,-0.12301052844745476,-0.10913679382221562,-0.11200334671636371,-0.11459960477006369,-0.11989580478523273,-0.12359723283391164,-0.13561043054208294,-0.1462130567249996,-0.11924543322034044,-0.14414168416287562,-0.15279779798590368,-0.1486343609757559,-0.16177493625040693,-0.16278579546213232,-0.17639159428305023,-0.1795751828019246,-0.18521631005808448,-0.19131581082680407,-0.1963042606333231,-0.20110829814052833,-0.2042093533542741,-0.2083172444886112,-0.20884118237598615,-0.20668313487282355,-0.20740342511095153,-0.20592918394968174,-0.2051934281454998,-0.2071396256667244,-0.2028436175802933,-0.20418169863889427,-0.20420411028723093,-0.20749933742278145,-0.20621848774919785,-0.20883446078834034,-0.2063079015300767,-0.20881779210785553,-0.2052870555667212,-0.20598744435634156,-0.2057943820248583,-0.2101735451186262,-0.21073642226056197,-0.20674114749736752,-0.20753050209713855,-0.20595754153025642,-0.208049726077214,-0.20514107265555914,-0.20340467142317173
-0.20548839019835075,-0.19683523767989375,-0.19247695639142065,-0.18656366573666092,-0.18073358842154122,-0.16995241213421394,-0.1990903025631617,-0.19306689946501693,-0.18463484098179844,-0.17367734301248805,-0.16199221363348876,-0.17393157503959142,-0.19912246302561362,-0.21896630895398816,-0.2110213174312059,-0.21512281713638695,-0.20735791537938558,-0.2128254583021989,-0.21678504529769946,-0.22078967291921642,-0.2126044566408512,-0.21994779559912342,-0.2303627357005487,-0.23642564813770514,-0.2287199209359308,-0.23702212359099675,-0.23662078135245165,-0.24149778759576276,-0.24661765209069178,-0.240886723012671,-0.25158600493019057,-0.25027282620532854,-0.27046844204664705,-0.27295995238258375,-0.2784751936908268,-0.2838564658785701,-0.28393065837156006,-0.28630378544078866,-0.28449664507490796,-0.282262714090474,-0.28406484348811234,-0.2835959984107727,-0.2822192918982509,-0.2825857170837886,-0.27966592228447373,-0.2753125883731977,-0.277202741943983,-0.27410488202379146,-0.2788325409584396,-0.28056707487142696,-0.2806818723296723,-0.27724120437968575,-0.09221188635487208,-0.10159071369120176,-0.1067696406863326,-0.11351838465024182,-0.11980345096763244,-0.13195090352927413,-0.1007706667866936,-0.10734680100374182,-0.11612266043871981,-0.12835170399665072,-0.14152221191853204,-0.12852853564683075,-0.10140196048410019,-0.08048322119967428,-0.08947608537527676,-0.08531552606469874,-0.09316836155799081,-0.08774977367179426,-0.0835624167549142,-0.07879393024674976,-0.08696943315389873,-0.08030759688950509,-0.06916034758194965,-0.062335018977907206,-0.070427294548033,-0.061745978807925594,-0.06248859473069429,-0.05819268082249619,-0.05301975136326327,-0.05848815253659341,-0.04776729881243943,-0.049149791445436776,-0.028299192262187457,-0.026303585293760572,-0.02072628958971895,-0.014802607928486875,-0.014943308595689967,-0.011919514820826083,-0.013621820317105422,-0.016553656305051876,-0.01500067556743387,-0.015017294787424716,-0.01590923126146957,-0.015615979773009327,-0.017483588465497878,-0.02279216484679061,-0.02105623212993353,-0.023769407593425634,-0.019146722171300007,-0.017212716776950597,-0.015996023243962324,-0.01971706651044874
-0.20548839019835075,-0.20032205538169934,-0.2219286284121513,-0.20349961394545552,-0.21157257573022406,-0.21645106469095207,-0.22531375161520922,-0.21833374113374662,-0.19304338357203707,-0.1994699851738805,-0.2063399515574003,-0.21752007466947804,-0.23436995589578852,-0.2428172153595578,-0.2520692124366081,-0.26223527535258095,-0.2444222862249932,-0.25852772739233304,-0.2603646670185633,-0.2695029458259015,-0.27414240917987315,-0.27669095284527767,-0.27073754874214045,-0.26900516962908066,-0.27068755667608885,-0.2764761805946643,-0.28004778302812994,-0.285294570432924,-0.283977763843182,-0.2786767547740889,-0.28157526757788864,-0.28362625975862565,-0.28671014024793395,-0.28913151344599014,-0.28977600593663394,-0.28865003464761346,-0.29115634047541455,-0.28911903814421663,-0.2892671836357389,-0.2911038946176829,-0.2915159035326264,-0.2908811184996842,-0.2922374052253162,-0.29060919314608014,-0.2912161661978845,-0.2903500471710767,-0.2852348996125486,-0.28336330154600275,-0.28190821025643625,-0.28396550214413413,-0.28595188101071956,-0.2847075781249588,-0.09221188635487208,-0.09786550941192741,-0.07520534044833113,-0.09526097073917986,-0.08681833775470175,-0.08205604160577495,-0.07324002663230353,-0.08155549344689628,-0.10825103388717289,-0.10102395496383249,-0.09359880806761123,-0.0821111541128958,-0.06405177172316386,-0.055203817939140726,-0.04530612842984126,-0.035118823695119025,-0.05379743335374692,-0.03876922975557847,-0.03666237320760537,-0.026284717083063444,-0.020001539870089992,-0.01710767560403914,-0.024110790999986198,-0.026907194883902887,-0.025783525384112337,-0.019561535091724935,-0.015326584413012023,-0.010929405091610903,-0.01300898234060162,-0.019239532967818246,-0.016440760722070014,-0.015016285181672872,-0.011026917673547606,-0.00919612998420739,-0.008169989988953007,-0.009799127281275886,-0.007438011590115886,-0.009509952617905841,-0.009693399737576186,-0.008400813825100698,-0.008065120666701866,-0.0092744208306025,-0.007536317539461412,-0.008773081929418681,-0.008428104864528637,-0.009066351238668531,-0.014590109970717502,-0.016043400101482058,-0.017297690613216964,-0.014547943916900822,-0.012865995187530649,-0.014610857787181594
